x,y,u
0.408163265,0,0
0.408163265,0.020408163,0.006679329
0.408163265,0.040816327,0.013386602
0.408163265,0.06122449,0.020149864
0.408163265,0.081632653,0.026997362
0.408163265,0.102040816,0.033957648
0.408163265,0.12244898,0.041059675
0.408163265,0.142857143,0.048332904
0.408163265,0.163265306,0.055807402
0.408163265,0.183673469,0.063513945
0.408163265,0.204081633,0.071484114
0.408163265,0.224489796,0.0797504
0.408163265,0.244897959,0.088346297
0.408163265,0.265306122,0.097306399
0.408163265,0.285714286,0.106666495
0.408163265,0.306122449,0.11646365
0.408163265,0.326530612,0.126736292
0.408163265,0.346938776,0.137524279
0.408163265,0.367346939,0.148868967
0.408163265,0.387755102,0.160813249
0.408163265,0.408163265,0.173401591
0.408163265,0.428571429,0.186680032
0.408163265,0.448979592,0.200696167
0.408163265,0.469387755,0.215499081
0.408163265,0.489795918,0.231139251
0.408163265,0.510204082,0.247668386
0.408163265,0.530612245,0.265139207
0.408163265,0.551020408,0.283605144
0.408163265,0.571428571,0.303119943
0.408163265,0.591836735,0.323737163
0.408163265,0.612244898,0.34550954
0.408163265,0.632653061,0.36848821
0.408163265,0.653061224,0.392721763
0.408163265,0.673469388,0.418255109
0.408163265,0.693877551,0.445128154
0.408163265,0.714285714,0.473374256
0.408163265,0.734693878,0.50301849
0.408163265,0.755102041,0.534075711
0.408163265,0.775510204,0.566548469
0.408163265,0.795918367,0.60042483
0.408163265,0.816326531,0.635676194
0.408163265,0.836734694,0.67225524
0.408163265,0.857142857,0.710094147
0.408163265,0.87755102,0.749103282
0.408163265,0.897959184,0.789170561
0.408163265,0.918367347,0.830161664
0.408163265,0.93877551,0.871921275
0.408163265,0.959183673,0.914275429
0.408163265,0.979591837,0.957034974
0.408163265,1,1
0.612244898,0,0
0.612244898,0.020408163,0.006540535
0.612244898,0.040816327,0.013108497
0.612244898,0.06122449,0.019731413
0.612244898,0.081632653,0.026437014
0.612244898,0.102040816,0.033253335
0.612244898,0.12244898,0.04020882
0.612244898,0.142857143,0.047332421
0.612244898,0.163265306,0.054653703
0.612244898,0.183673469,0.062202946
0.612244898,0.204081633,0.070011252
0.612244898,0.224489796,0.078110642
0.612244898,0.244897959,0.086534168
0.612244898,0.265306122,0.095316007
0.612244898,0.285714286,0.104491564
0.612244898,0.306122449,0.114097574
0.612244898,0.326530612,0.12417219
0.612244898,0.346938776,0.134755073
0.612244898,0.367346939,0.145887473
0.612244898,0.387755102,0.157612298
0.612244898,0.408163265,0.169974168
0.612244898,0.428571429,0.183019452
0.612244898,0.448979592,0.196796283
0.612244898,0.469387755,0.211354538
0.612244898,0.489795918,0.226745783
0.612244898,0.510204082,0.243023167
0.612244898,0.530612245,0.26024126
0.612244898,0.551020408,0.278455813
0.612244898,0.571428571,0.297723429
0.612244898,0.591836735,0.318101126
0.612244898,0.612244898,0.33964576
0.612244898,0.632653061,0.362413306
0.612244898,0.653061224,0.386457939
0.612244898,0.673469388,0.411830922
0.612244898,0.693877551,0.438579242
0.612244898,0.714285714,0.466744004
0.612244898,0.734693878,0.49635854
0.612244898,0.755102041,0.52744626
0.612244898,0.775510204,0.560018254
0.612244898,0.795918367,0.594070696
0.612244898,0.816326531,0.629582154
0.612244898,0.836734694,0.666510939
0.612244898,0.857142857,0.704792683
0.612244898,0.87755102,0.744338378
0.612244898,0.897959184,0.785033166
0.612244898,0.918367347,0.826736138
0.612244898,0.93877551,0.869281401
0.612244898,0.959183673,0.912480586
0.612244898,0.979591837,0.956126813
0.612244898,1,1
