x,y,u
0.0,0.0,0.0
0.02040816326530612,0.0,0.0
0.04081632653061224,0.0,0.0
0.061224489795918366,0.0,0.0
0.08163265306122448,0.0,0.0
0.1020408163265306,0.0,0.0
0.12244897959183673,0.0,0.0
0.14285714285714285,0.0,0.0
0.16326530612244897,0.0,0.0
0.18367346938775508,0.0,0.0
0.2040816326530612,0.0,0.0
0.22448979591836732,0.0,0.0
0.24489795918367346,0.0,0.0
0.26530612244897955,0.0,0.0
0.2857142857142857,0.0,0.0
0.3061224489795918,0.0,0.0
0.32653061224489793,0.0,0.0
0.3469387755102041,0.0,0.0
0.36734693877551017,0.0,0.0
0.3877551020408163,0.0,0.0
0.4081632653061224,0.0,0.0
0.42857142857142855,0.0,0.0
0.44897959183673464,0.0,0.0
0.4693877551020408,0.0,0.0
0.4897959183673469,0.0,0.0
0.5102040816326531,0.0,0.0
0.5306122448979591,0.0,0.0
0.5510204081632653,0.0,0.0
0.5714285714285714,0.0,0.0
0.5918367346938775,0.0,0.0
0.6122448979591836,0.0,0.0
0.6326530612244897,0.0,0.0
0.6530612244897959,0.0,0.0
0.673469387755102,0.0,0.0
0.6938775510204082,0.0,0.0
0.7142857142857142,0.0,0.0
0.7346938775510203,0.0,0.0
0.7551020408163265,0.0,0.0
0.7755102040816326,0.0,0.0
0.7959183673469387,0.0,0.0
0.8163265306122448,0.0,0.0
0.836734693877551,0.0,0.0
0.8571428571428571,0.0,0.0
0.8775510204081632,0.0,0.0
0.8979591836734693,0.0,0.0
0.9183673469387754,0.0,0.0
0.9387755102040816,0.0,0.0
0.9591836734693877,0.0,0.0
0.9795918367346939,0.0,0.0
1.0,0.0,0.0
0.0,0.02040816326530612,0.0
0.02040816326530612,0.02040816326530612,0.0004495851523819779
0.04081632653061224,0.02040816326530612,0.0008972370326323873
0.061224489795918366,0.02040816326530612,0.0013410335356803453
0.08163265306122448,0.02040816326530612,0.0017790747195140172
0.1020408163265306,0.02040816326530612,0.002209493466582548
0.12244897959183673,0.02040816326530612,0.002630465655446215
0.14285714285714285,0.02040816326530612,0.0030402197088826434
0.16326530612244897,0.02040816326530612,0.0034370453994611227
0.18367346938775508,0.02040816326530612,0.0038193018254171584
0.2040816326530612,0.02040816326530612,0.004185424487503289
0.22448979591836732,0.02040816326530612,0.004533931434997703
0.24489795918367346,0.02040816326530612,0.004863428465980257
0.26530612244897955,0.02040816326530612,0.00517261340500638
0.2857142857142857,0.02040816326530612,0.005460279493721347
0.3061224489795918,0.02040816326530612,0.005725317963861175
0.32653061224489793,0.02040816326530612,0.005966719867460152
0.3469387755102041,0.02040816326530612,0.006183577265429021
0.36734693877551017,0.02040816326530612,0.0063750838729236085
0.3877551020408163,0.02040816326530612,0.006540535276731757
0.4081632653061224,0.02040816326530612,0.006679328829397805
0.42857142857142855,0.02040816326530612,0.006790963331510299
